script_id,imdb_character_name,words,race,age
280,betty,311,nw,35
280,carolyn johnson,873,nw,NULL
280,francesca johns,2251,w,46
280,madge,190,w,46
280,michael johnson,723,w,38
280,robert kincaid,1908,w,65
280,eleanor,138,nw,NULL
623,daphne handlova,409,w,28
623,deputy chief fi,347,w,NULL
623,detective eddie,2020,w,58
623,emil slovak,1337,w,39
623,robert hawkins,596,w,46
623,honey the hooke,148,w,NULL
623,fire marshal jo,1683,w,33
623,bobby korfin,328,w,NULL
623,detective leon ,366,nw,53
623,nicolette karas,801,w,34
623,oleg razgul,608,w,34
623,rose hearn,166,w,26
623,stephen geller,139,nw,25
623,detective tommy,160,nw,25
625,dr. dave bowman,780,w,32
625,elena,155,w,37
625,dr. heywood r. ,942,nw,46
625,dr. ralph halvo,918,nw,59
625,dr. bill michae,151,nw,47
625,miller,141,w,40
625,dr. frank poole,752,w,31
625,dr. andrei smys,225,w,42
625,pilot,337,nw,NULL
630,jacob elinsky,1292,w,35
630,kostya novotny,790,nw,35
630,marcuse,126,w,26
630,mary d'annunzio,256,w,20
630,monty brogan,3440,w,33
630,naturelle rivie,817,nw,23
630,simon,209,nw,32
630,frank slaughter,1495,nw,32
630,uncle nikolai,619,nw,44
630,senka valghobek,186,nw,41
630,louis volandes,115,nw,39
630,agent brzowski,277,nw,NULL
630,gedny,179,nw,NULL
630,lichter,215,nw,NULL
630,trey,116,nw,NULL
633,uncle arthur,357,w,53
633,clive park,273,nw,NULL
633,danny gopnik,647,w,15
633,judith gopnik,227,w,NULL
633,larry gopnik,5071,nw,41
633,mitch brandt,309,nw,NULL
633,sy ableman,370,w,53
633,hebrew school t,146,nw,NULL
633,shtetl wife,130,nw,NULL
633,don,739,nw,NULL
633,gar,140,nw,NULL
633,mimi,219,nw,NULL
633,reb groshkover,111,nw,NULL
633,sarah,290,nw,NULL
640,buckaroo banzai,1723,w,37
640,lord john whorf,330,w,39
640,general catburd,334,nw,54
640,highway patrolm,126,w,36
640,john emdall,226,nw,46
640,new jersey,132,w,32
640,penny priddy,653,w,30
640,perfect tommy,464,w,28
640,president widma,303,w,49
640,professor hikit,301,nw,53
640,rawhide,493,w,25
640,reno nevada,360,nw,40
640,secretary of de,687,w,48
642,uncle branca,271,w,NULL
642,nelson fox,667,w,46
642,delores 'jacks',686,nw,39
642,lieutenant stro,169,nw,NULL
642,detective lukic,199,w,NULL
642,machete man,113,nw,NULL
642,nico toscani,3835,w,36
642,"alex, the pimp",156,w,NULL
642,rosa toscani,168,nw,66
642,tony salvano,203,w,39
642,sara toscani,198,w,30
642,watanabe,265,nw,NULL
642,kurt zagon,914,w,60
647,white house aid,120,w,34
647,alice marshall,371,w,13
647,boris bazylev,115,w,42
647,f-15 leader col,293,w,38
647,defense secreta,210,w,61
647,nsa advisor jac,113,nw,49
647,general northwo,202,w,50
647,agent gibbs,299,w,42
647,ivan korshunov,1075,w,39
647,major caldwell,319,w,47
647,president james,1491,w,55
647,press secretary,235,w,42
647,reporter #1,123,w,42
647,grace marshall,497,w,41
647,chief of staff ,319,w,48
647,vice president ,389,w,50
648,dr. rumack,806,w,54
648,elaine,904,w,25
648,air controller ,162,w,63
648,kramer,1191,w,61
648,murdock,268,nw,33
648,captain oveur,324,w,54
648,randy,472,w,24
648,ted striker,1016,w,33
648,bernice,124,nw,NULL
648,milton,217,nw,NULL
650,the commissione,203,w,67
650,hallick,170,nw,NULL
650,elaine,930,w,27
650,jacobs,139,nw,35
650,jimmy wilson,127,w,11
650,kruger,276,nw,51
650,captain oveur,346,w,56
650,"voice of rok, t",118,nw,36
650,dr. rumack,133,w,56
650,the sarge,206,w,61
650,simon,392,w,45
650,testa,122,nw,25
650,kramer,382,nw,NULL
650,mary,289,nw,NULL
650,stella,363,nw,NULL
650,ted,1646,nw,NULL
652,cassandra,220,w,31
652,fedorchuk,175,w,44
652,william harcour,517,w,50
652,mayor,144,nw,NULL
652,o'neal,148,w,NULL
652,computer operat,129,nw,NULL
652,quint,130,nw,NULL
652,det. sgt. matth,2692,w,48
652,det. bill tuggl,149,nw,39
652,capt. warner,139,w,46
652,winter,243,nw,41
652,det. samuel 'ge,1551,nw,36
653,muhammad ali,4042,nw,33
653,angelo dundee,318,nw,55
653,belinda ali,566,nw,27
653,howard bingham,188,nw,36
653,bradley,128,w,51
653,drew 'bundini' ,708,nw,34
653,chauncey eskrid,247,nw,54
653,don king,398,nw,44
653,elijah muhammad,206,nw,64
653,george foreman,162,nw,NULL
653,'smokin' joe fr,150,nw,33
653,jabir herbert m,232,nw,47
653,howard cosell,575,w,63
653,joe smiley,128,w,44
653,malcolm x,662,nw,44
653,sonji roi,291,nw,30
664,katerina cavali,271,w,31
664,archbishop coll,150,nw,52
664,parody commenda,107,w,50
664,constanze mozar,1406,w,22
664,emperor joseph ,946,w,38
664,leopold mozart,646,w,61
664,lorl,307,w,18
664,frau weber,175,nw,NULL
664,wolfgang amadeu,3826,w,31
664,count orsini-ro,303,w,54
664,papageno in 'th,154,nw,NULL
664,antonio salieri,1919,nw,45
664,emanuel schikan,702,w,35
664,michael schlumb,410,w,52
664,salieri's valet,149,w,36
664,father vogler,309,nw,31
664,count von strac,155,nw,52
664,baron van swiet,246,nw,61
664,frau schlumberg,107,nw,NULL
665,mp,168,w,40
665,charlie william,115,nw,60
665,frank lucas,2480,nw,53
665,2-star general,144,w,NULL
665,jimmy zee,115,nw,NULL
665,moses jones,103,nw,38
665,laurie roberts,190,w,36
665,mama lucas,173,nw,85
665,nate,175,nw,48
665,richie roberts,2217,w,43
665,javier j. river,392,w,39
665,freddie spearma,140,w,48
665,tango,140,nw,35
665,lou toback,318,w,50
665,huey lucas,529,nw,30
665,detective trupo,377,w,39
665,us attorney,222,w,45
665,ana,220,nw,NULL
665,jackie,132,nw,NULL
665,sheila,224,nw,NULL
665,teddy,204,nw,NULL
665,tony,261,nw,NULL
666,budda,226,nw,22
666,carlos,131,nw,18
666,carol,729,w,14
666,curt,1240,w,26
666,debbie,735,w,26
666,bob falfa,248,w,31
666,girl,109,nw,NULL
666,joe,559,w,35
666,john,1472,w,28
666,laurie,642,w,26
666,mr. wolfe,157,nw,31
666,steve,889,w,19
666,terry,1604,w,20
666,wendy,178,nw,NULL
666,disc jockey,622,w,35
666,manager,333,nw,NULL
674,nurse alex pric,1024,w,29
674,chess player,221,nw,47
674,david kessler,2295,w,30
674,dr. j. s. hirsc,1161,w,52
674,jack goodman,986,w,26
674,inspector villi,220,nw,52
674,nurse susan gal,126,nw,NULL
674,mr. collins,135,w,37
674,woman in zoo,148,nw,59
676,anastasia,1197,w,36
676,bartok,673,nw,33
676,dimitri,944,nw,NULL
676,phlegmenkoff,105,w,50
676,rasputin,743,w,59
676,sophie,242,nw,49
676,vladimir,643,w,42
676,tatiana,604,nw,NULL
678,ben sobel,4922,w,54
678,richard chapin,450,w,50
678,coyote,105,nw,54
678,ducks,103,nw,NULL
678,eddie devol,233,nw,NULL
678,jelly,653,nw,65
678,laura sobel,759,w,39
678,masiello,280,w,73
678,michael sobel,125,nw,19
678,agent miller,137,w,37
678,raoul berman,394,w,38
678,rigazzi gunman,184,nw,NULL
678,anthony bella,170,w,43
678,paul vitti,4327,w,59
682,allison,141,w,25
682,alvy singer,7661,w,42
682,annie hall,3719,w,31
682,doctor,135,nw,56
682,man in theatre ,267,nw,36
682,mom hall,110,w,53
682,rob,567,w,38
682,robin,172,w,34
682,tony lacey,364,w,36
697,agnieska,263,w,41
697,amos,1799,w,54
697,carla,564,w,32
697,admiral crawfor,193,w,57
697,jack shaw,3484,w,62
697,koj,129,nw,37
697,maura ramirez,314,nw,NULL
697,carl mickens - ,260,w,62
697,lt. cmdr. annib,2987,w,38
697,frank,125,nw,NULL
698,alotta fagina,170,nw,33
698,austin powers,2298,nw,34
698,basil expositio,773,w,55
698,frau farbissina,223,w,44
698,mrs. kensington,211,w,41
698,mustafa,168,w,30
698,number two,202,w,67
698,scott evil,338,w,23
698,therapist,118,nw,41
698,vanessa kensing,992,w,32
699,austin powers,2353,nw,36
699,basil expositio,432,w,57
699,felicity shagwe,940,w,29
699,number two,359,w,69
699,the president,104,w,41
699,scott evil,246,w,25
701,anna,496,nw,27
701,claudia,1721,w,29
701,corrado,612,nw,NULL
701,ettore,276,nw,NULL
701,giulia,467,nw,33
701,patrizia,756,nw,32
701,the princess,195,nw,NULL
701,raimondo,165,nw,37
701,sandro,1724,w,35
701,zuria - journal,290,nw,55
701,anna's father,298,nw,NULL
701,carabiniere,134,nw,NULL
701,father,122,nw,NULL
701,girl,128,nw,NULL
701,husband,153,nw,NULL
701,lieutenant,310,nw,NULL
701,man's voice,103,nw,NULL
701,marshal,277,nw,NULL
701,midwife,142,nw,NULL
701,old man,139,nw,NULL
701,sailor,275,nw,NULL
706,anthony,191,nw,28
706,hospital direct,217,nw,NULL
706,dr. kaufman,762,w,45
706,leonard lowe,2469,w,47
706,lucy,189,w,62
706,nurse margaret,315,nw,49
706,mrs. lowe,725,w,85
706,neurochemist,176,w,37
706,paula,509,w,26
706,rose,133,w,64
706,dr. malcolm say,4998,w,39
706,fernando,112,nw,NULL
706,hector,228,nw,NULL
706,miss costello,546,nw,NULL
706,old doctor,350,nw,NULL
707,bobbi,123,w,23
707,cole whittier,646,nw,NULL
707,debbie thompson,519,w,23
707,gary,334,w,34
707,ilene,169,nw,33
707,parkview hotel ,173,w,43
707,ed thompson,519,nw,56
707,mrs. thompson,144,w,54
707,jay o'neill,719,w,30
707,rajah,119,nw,43
707,ryko,236,w,30
707,dr. stan gassko,311,nw,36
707,chulo,283,nw,NULL
707,father falwell,116,nw,NULL
707,larry,210,nw,NULL
708,marcus burnett,3955,nw,30
708,casper,116,w,28
708,eddie dominguez,185,w,30
708,fouchet,711,w,42
708,francine,238,w,42
708,captain howard,653,w,44
708,jojo,120,nw,29
708,julie mott,1990,w,29
708,mike lowrey,2906,nw,27
708,max logan,215,nw,NULL
708,detective sanch,126,nw,40
708,theresa burnett,568,nw,31
708,woman at boxing,122,nw,NULL
712,the lieutenant,2616,w,53
712,ariane,376,nw,NULL
712,beat cop,107,w,58
712,lite,204,nw,NULL
712,the nun,846,w,28
712,priest,145,nw,54
714,pierre delacroi,4179,nw,40
714,dot,106,nw,27
714,thomas dunwitty,1675,w,30
714,honeycutt,455,nw,NULL
714,jukka laks,111,w,NULL
714,junebug,352,nw,59
714,mantan,1396,nw,27
714,myrna goldfarb,205,w,32
714,orchid dothan,275,nw,57
714,sloan hopkins,1249,nw,29
714,mau mau: big bl,562,nw,27
714,Sleep'n Eat,332,nw,37
714,womack,570,nw,37
715,audrey taylor,505,w,36
715,barton fink,3418,nw,34
715,charlie meadows,2130,w,39
715,detective deuts,210,w,48
715,garland stanfor,321,nw,57
715,ben geisler,573,w,38
715,lou breeze,131,w,41
715,mailman,166,nw,NULL
715,detective mastr,296,w,44
715,w.p. mayhew,524,w,51
715,jack lipnick,1626,nw,50
716,captain grogan,952,w,52
716,the chevalier d,1020,nw,53
716,barry's mother,480,nw,57
716,narrator,259,w,64
716,brookside,379,nw,NULL
716,captain best,263,nw,NULL
716,captain galgens,785,nw,NULL
716,captain o'reill,380,nw,NULL
716,countess,929,nw,NULL
716,dorothy,433,nw,NULL
716,harry,335,nw,NULL
716,michael,128,nw,NULL
716,minister galgen,184,nw,NULL
716,mrs. o'reilly,243,nw,NULL
716,newcombe,372,nw,NULL
716,patrick,178,nw,NULL
716,roderick,12487,nw,NULL
716,sir william,592,nw,NULL
716,uncle,194,nw,NULL
718,andrews,207,nw,36
718,dr. beth garner,829,w,29
718,catherine trame,1851,w,34
718,detective,131,nw,33
718,dr. lamott,171,w,41
718,gus,1140,w,47
718,harrigan,130,w,27
718,detective nick ,2372,w,48
718,Lieutenant Walk,720,nw,53
722,alfred pennywor,448,w,76
722,bruce wayne,956,w,41
722,commissioner ja,211,w,68
722,ice princess,111,nw,28
722,max shreck,1116,w,49
722,the mayor,434,w,54
722,penguin,3113,nw,48
722,selina kyle,1077,w,34
725,bruce wayne,793,w,38
725,harvey dent,188,nw,52
725,carl grissom,154,w,70
725,joker,585,w,52
725,alexander knox,895,w,38
