imdb_id,pct_wht,us_gross
tt2488496,0.545454545,936662225
tt0499549,0.461538462,760507625
tt0120338,0.882352941,659325379
tt0848228,0.866666667,623357910
tt0468569,0.71875,534858444
tt0120915,0.666666667,474544677
tt1345836,0.769230769,448139099
tt0298148,0.714285714,436471036
tt0383574,0.833333333,423315812
tt0435761,0.933333333,415004880
tt1392170,0.8,408010692
tt0107290,0.727272727,402453882
tt2294629,0,400738009
tt0266543,0.882352941,380843261
tt0121766,0.75,380262555
tt0167260,0.846153846,377845905
tt0316654,0.6,373585825
tt1690953,0.363636364,368061265
tt2096673,0.75,356461711
tt2179136,0.818181818,350126372
tt0167261,0.866666667,342551365
tt1014759,1,334191110
tt0109830,0.666666667,330252182
tt0076759,0.666666667,322740140
tt0413267,0.727272727,320706665
tt0120737,0.857142857,315544750
tt0110357,0.5,312900000
tt0121765,0.636363636,310675583
tt0449088,0.727272727,309420425
tt0086190,0.666666667,309125409
tt0116629,0.692307692,306169268
tt0325980,0.875,305413918
tt0417741,0.928571429,301959197
tt1325004,1,300531751
tt1259571,0.647058824,296623634
tt0167404,0.625,293506292
tt1049413,0.8,293004164
tt1375666,0.666666667,292576195
tt0363771,0.833333333,291709845
tt0080684,0.6,290475067
tt0330373,0.913043478,290013036
tt0198781,0.8,289916256
tt0099785,1,285761243
tt1454468,1,274092705
tt1453405,0.75,268492764
tt0126029,0.666666667,267665011
tt0295297,0.894736842,261988482
tt0317705,0.777777778,261441092
tt0073195,0.75,260000000
tt1490017,0.75,257760692
tt0480249,0,256386216
tt0878804,0.75,255959475
tt1323594,0.666666667,251513985
tt0096895,0.833333333,251188924
tt0119654,0.857142857,250690539
tt0304141,0.904761905,249358727
tt0082971,0.857142857,248159971
tt0315327,0.6,242829261
tt0117998,1,241721524
tt0259446,0.777777778,241438208
tt1587310,0.888888889,241410378
tt0087332,0.875,238632124
tt0407304,1,234280354
tt0162222,1,233632142
tt0119567,0.9,229086679
tt3659388,0.666666667,228433663
tt0286106,0.833333333,227966634
tt0440963,1,227471070
tt0266915,0.125,226164286
tt0465234,0.888888889,219964115
tt0101414,0.8,218967620
tt1637725,0.916666667,218815487
tt0099653,0.714285714,217631306
tt0892769,0.875,217581231
tt0120815,0.857142857,216540909
tt0441773,0.5,215434591
tt0120755,0.777777778,215409889
tt0290334,0.909090909,214949694
tt1482459,0.75,214030500
tt0416449,0.75,210614939
tt0088763,1,210609762
tt0396269,0.909090909,209218368
tt0988045,1,209028679
tt0382932,0.818181818,206445654
tt0145660,0.833333333,206040086
tt0103064,0.666666667,204843350
tt0816711,0.75,202359711
tt0120591,0.916666667,201573391
tt0213149,0.7,198542554
tt0366548,1,198000317
tt0097576,0.555555556,197171806
tt1099212,0.705882353,192769854
tt0114709,0.9,191796233
tt2294449,0.8,191719337
tt1216475,0.733333333,191452396
tt1772341,0.714285714,189422889
tt0816692,0.923076923,188020017
tt0172495,0.727272727,187705427
tt0481499,1,187168425
tt0356910,0.833333333,186336279
tt0099348,0.571428571,184208848
tt0112462,0.8,184031112
tt0106977,0.8125,183875760
tt1663202,1,183637894
tt0240772,0.846153846,183417150
tt0443272,0.75,182207973
tt0119528,0.777777778,181410615
tt0163025,1,181171875
tt0800369,0.8125,181030624
tt0117060,0.769230769,180981856
tt0458525,0.888888889,179883157
tt0087469,0.833333333,179870271
tt0092099,1,179800601
tt0386588,0.333333333,179495555
tt0100405,1,178406268
tt0084805,0.875,177200000
tt1646971,0.727272727,177002924
tt1318514,0.75,176760185
tt0458339,0.714285714,176654505
tt0129387,0.733333333,176484651
tt0372183,1,176241941
tt0319343,0.8,173398518
tt0368891,1,173008894
tt0118571,0.9375,172956409
tt0133093,0.4,171479930
tt1403865,0.75,171243005
tt0120855,1,171091819
tt0268978,1,170742341
tt1454029,0.75,169708112
tt1478338,0.818181818,169106725
tt0486946,0.615384615,168273550
tt0094137,0.666666667,167780960
tt2267998,0.818181818,167767189
tt1190080,0.5625,166112167
tt0102798,1,165500000
tt0212985,0.6,165092268
tt0264464,1,164615351
tt1041829,1,163958031
tt0800320,1,163214888
tt0103776,0.857142857,162831698
tt1398426,0.222222222,161197785
tt0070735,0.666666667,159600000
tt0120903,0.666666667,157299717
tt0096438,0.833333333,156452370
tt0161081,0.857142857,155464351
tt0120616,0.8,155247825
tt0120667,0.833333333,154696080
tt0116695,0.785714286,153952592
tt0267913,0.833333333,153288182
tt1000774,0.8125,152647258
tt1046173,0.666666667,152267519
tt0163187,0.866666667,152257509
tt1528854,1,150357137
tt1800241,1,150117807
tt1707386,1,148809770
tt0478311,0.823529412,148768917
tt0119822,0.8,148478011
tt0415306,0.888888889,148213377
tt0087363,0.666666667,148170000
tt1205489,0.818181818,148095302
tt0111503,0.875,146282411
tt0936501,0.8,145000989
tt1343092,0.857142857,144840419
tt0343818,0.833333333,144801023
tt0232500,0.625,144533925
tt0467406,0.833333333,143495265
tt0822832,0.866666667,143153751
tt0472181,0.777777778,142614158
tt0295701,0.5,142109382
tt0061852,1,141843612
tt0114148,0.714285714,141600000
tt0104257,0.733333333,141340178
tt1010048,0.142857143,141319928
tt0120812,0.375,141153686
tt0185937,1,140539099
tt0164912,0.857142857,140035367
tt0073629,0.666666667,139876417
tt1397280,0.8,139854287
tt0105417,0.4,139610000
tt0091763,0.533333333,138530565
tt0119217,1,138433435
tt0389860,0.857142857,137355633
tt0120689,0.714285714,136801374
tt0117438,0.8,136492681
tt1024648,0.888888889,136025503
tt0068646,0.6,134966411
tt0800080,0.8,134518390
tt0493464,0.714285714,134508551
tt2024432,0.833333333,134506920
tt0117500,0.866666667,134069511
tt0332452,0.8,133378256
tt0808151,0.888888889,133375846
tt1430132,0.142857143,132556852
tt0407887,0.857142857,132384315
tt0181689,0.882352941,132072926
tt0102926,0.8,130742922
tt0109813,0.833333333,130512915
tt0122151,0.375,130444603
tt0765429,0.529411765,130164645
tt0169547,1,130096601
tt0084434,0.818181818,129795552
tt0298130,0.75,129128133
tt0094898,0.125,128152300
tt2180411,0.9,128002372
tt0421715,0.583333333,127509326
tt0109686,0.857142857,127175354
tt0119738,1,127120029
tt1650062,0.846153846,127004179
tt0143145,1,126943684
tt0076729,0.5,126737428
tt2872732,0.666666667,126663600
tt0389790,0.833333333,126631277
tt0108160,1,126533006
tt1446714,0.666666667,126477084
tt1599348,0.714285714,126373434
tt0120382,1,125618201
tt0195685,0.916666667,125595205
tt0349903,0.875,125544280
tt0120347,0.857142857,125332007
tt0438488,0.777777778,125322469
tt0160127,0.857142857,125305545
tt1091191,0.75,125095601
tt0084602,0.5,125049125
tt0454876,0.5,124987023
tt2582846,0.9,124872350
tt0844471,0.666666667,124870275
tt0458352,0.8,124740460
tt0337741,0.75,124728738
tt0181865,0.375,124115725
tt0109444,0.875,122187717
tt0099810,0.722222222,122012643
tt0103855,0.636363636,121945720
tt0258463,0.909090909,121661683
tt0829482,0.888888889,121463226
tt0120762,0.230769231,120620254
tt0110475,0.666666667,119938730
tt1985966,0.625,119793567
tt0102057,0.9,119654823
tt0071230,0.875,119500000
tt0100802,0.7,119394840
tt0082846,1,119285432
tt1386588,0.692307692,119219978
tt0445934,1,118594548
tt0096874,1,118500000
tt0944835,0.833333333,118311368
tt0103772,0.857142857,117727000
tt0099423,0.692307692,117540947
tt1499658,0.8,117538559
tt0075148,0.454545455,117235247
tt0993846,0.8125,116900694
tt1327773,0.25,116632095
tt1133985,0.833333333,116601172
tt0125439,1,116089678
tt0128853,0.833333333,115821495
tt0069704,0.833333333,115000000
tt0094737,1,114968774
tt0368447,1,114197520
tt0120891,0.5,113805681
tt0101272,0.777777778,113502000
tt0395699,1,113086868
tt1230414,0.916666667,112735375
tt0097428,0.875,112494738
tt0119094,0.8,112225777
tt0096320,0.875,111936400
tt0120660,0.764705882,111549836
tt0097757,0.777777778,111543479
tt0325710,0.625,111110575
tt0942385,0.7,110515313
tt0817230,0.833333333,110485654
tt0391198,0.625,110359362
tt0369441,1,110332737
tt0092007,0.636363636,109713132
tt0405422,0.888888889,109449237
tt0265086,0.782608696,108638745
tt0086425,0.833333333,108423489
tt0081573,0.9,108185706
tt0110912,0.666666667,107928762
tt0409459,0.727272727,107509799
tt0118688,0.818181818,107325195
tt1535109,0.666666667,107100855
tt0947798,0.8,106954678
tt0122933,0.714285714,106885658
tt0113189,0.8,106600000
tt0079417,1,106260000
tt0317740,0.888888889,106128601
tt0110148,0.888888889,105264608
tt0061722,0.833333333,104945305
tt1446192,0.857142857,103412758
tt0080319,1,103290500
tt1320253,0.636363636,103068524
tt0117571,0.857142857,103046663
tt0077766,0.818181818,102922376
tt0144214,0.666666667,102705852
tt0338751,1,102608827
tt0163651,0.625,102561004
tt1568346,0.928571429,102515793
tt0859163,0.8,102491776
tt1790864,0.666666667,102427862
tt0107206,0.875,102314283
tt0076095,0.666666667,102000000
tt1663662,0.6,101802906
tt0187078,0.909090909,101648571
tt0110478,0.571428571,101631272
tt0455944,0.714285714,101530738
tt0120082,0.692307692,101363301
tt1959490,1,101200044
tt0105695,0.888888889,101157447
tt1059786,1,101111837
tt0162661,1,101071502
tt0369339,0.538461538,101005703
tt0107798,0.777777778,100768056
tt0259711,1,100614858
tt0405159,0.555555556,100492203
tt0138097,1,100317794
tt1284575,1,100292856
tt0409847,0.666666667,100240551
tt0116583,1,100138851
tt0114369,0.727272727,100125643
tt0112864,0.5,100012499
tt0119282,0.777777778,99046791
tt1279935,1,98711404
tt1068680,0.857142857,97690976
tt1152836,0.857142857,97104620
tt1285016,0.882352941,96962694
tt0230600,1,96522687
tt0250494,0.769230769,96520674
tt0258000,0.857142857,96397334
tt0108052,1,96067179
tt0097165,0.9,95860116
tt1790885,0.7,95720716
tt0159365,0.954545455,95636509
tt0082031,0.75,95461682
tt0217869,0.5,95011339
tt0453562,0.772727273,95001343
tt1037705,0.909090909,94835059
tt1001508,0.846153846,93953653
tt0311113,0.857142857,93927920
tt1907668,0.692307692,93772375
tt0964517,1,93617009
tt0825232,0.285714286,93466502
tt0289765,0.888888889,93149898
tt1535108,0.7,93050117
tt0098635,0.714285714,92823600
tt0840361,1,92186262
tt0109446,0.909090909,92115211
tt0117731,0.666666667,92001027
tt1929263,0.875,91443253
tt0171363,1,91411151
tt0112740,0.75,91400000
tt0120686,0.75,91137662
tt0206275,0.142857143,91057006
tt0087538,0.714285714,90815558
tt0473075,1,90759676
tt0120587,0.5,90757863
tt0186566,0.909090909,90464773
tt0117705,0.636363636,90463534
tt0086465,0.857142857,90404800
tt0327056,0.846153846,90135191
tt1340138,0.875,89760956
tt0408790,0.8,89707299
tt0101862,0.875,89325780
tt0134084,0.75,89138076
tt1483013,0.75,89021735
tt1142988,0.909090909,88915214
tt0104389,0.666666667,88036683
tt0099088,0.857142857,87727583
tt0137494,0.666666667,87704396
tt0910936,0.538461538,87341380
tt0102510,0.833333333,86930411
tt0072431,0.714285714,86300000
tt2096672,0.75,86208010
tt0377092,0.7,86058055
tt2713180,0.666666667,85817906
tt0190641,0.666666667,85744662
tt0357413,0.888888889,85288303
tt0079817,0.571428571,85182160
tt0090605,0.8,85160248
tt0069113,0.909090909,84563118
tt1570728,0.8,84351197
tt0106582,0.75,84049211
tt0120902,1,83898313
tt1193138,0.777777778,83823381
tt2226417,0.7,83586447
tt0078788,0.666666667,83471511
tt0080339,0.875,83400000
tt2140373,0.9,83301580
tt0985699,1,83077833
tt0388795,1,83043761
tt0095016,0.666666667,83008852
tt0099371,1,82670733
tt0329101,0.75,82622655
tt1033575,0.909090909,82584160
tt0103874,0.875,82522790
tt0101921,0.75,82418501
tt0187738,0.6,82348319
tt0079945,0.666666667,82258456
tt0442933,0.909090909,82161969
tt0066026,0.875,81600000
tt0477080,0.666666667,81562942
tt0120784,0.9,81526121
tt0134119,1,81298265
tt0332379,0.75,81261177
tt0093565,0.9,80640528
tt0324216,1,80571655
