"script_id","imdb_id","character_from_script","closest_character_name_from_imdb_match","closest_imdb_character_id"
1,"tt0147800","bianca","bianca stratford","nm0646351"
1,"tt0147800","cameron","cameron james","nm0330687"
1,"tt0147800","chastity","chastity","nm0005517"
1,"tt0147800","joey","joey donner","nm0005080"
1,"tt0147800","kat","kat stratford","nm0005466"
1,"tt0147800","mandella","mandella","nm0006721"
1,"tt0147800","michael","michael","nm0472710"
1,"tt0147800","patrick","patrick verona","nm0005132"
1,"tt0147800","walter","walter stratford","nm0588777"
2,"tt0103594","alonso","alonso","nm0274574"
2,"tt0103594","arojaz","arojaz","nm0758002"
2,"tt0103594","beatrix","beatrix","nm0596807"
2,"tt0103594","bobadilla","bobadilla","nm0546797"
2,"tt0103594","columbus","columbus","nm0000367"
2,"tt0103594","fernando","older fernando","nm0000363"
2,"tt0103594","isabel","queen isabel","nm0000244"
2,"tt0103594","marchena","marchena","nm0721073"
2,"tt0103594","mendez","captain mendez","nm0242656"
2,"tt0103594","moxica","moxica","nm0000699"
2,"tt0103594","pinzon","pinzon","nm0001409"
2,"tt0103594","sanchez","sanchez","nm0000800"
2,"tt0103594","utapan","utapan","nm0610350"
3,"tt0179626","cutler","himself","nm0036250"
3,"tt0179626","daphne","daphne handlova","nm0267812"
3,"tt0179626","duffy","deputy chief fire marshal declan duffy","nm0359695"
3,"tt0179626","eddie","detective eddie flemming","nm0000134"
3,"tt0179626","emil","emil slovak","nm0734558"
3,"tt0179626","hawkins","robert hawkins","nm0001288"
3,"tt0179626","honey","honey the hooker","nm0263102"
3,"tt0179626","jordy","fire marshal jordy warsaw","nm0122653"
3,"tt0179626","korfin","bobby korfin","nm0228180"
3,"tt0179626","leon","detective leon jackson","nm0000984"
3,"tt0179626","maggie","maggie","nm0547484"
3,"tt0179626","milos","milos karlova","nm0556343"
3,"tt0179626","mugger","mugger in central park","nm0004979"
3,"tt0179626","nicolette","nicolette karas","nm0005074"
3,"tt0179626","oleg","oleg razgul","nm0847727"
3,"tt0179626","rose","rose hearn","nm0000234"
3,"tt0179626","stephen geller","stephen geller","nm0750353"
3,"tt0179626","tommy","detective tommy cullen","nm0566902"
3,"tt0179626","vendor","news stand vendor","nm0182662"
4,"tt0062622","b20","dr. dave bowman","nm0001158"
4,"tt0062622","c12","moon-watcher","nm0725220"
4,"tt0062622","elena","elena","nm0879239"
4,"tt0062622","floyd","dr. heywood r. floyd","nm0843213"
4,"tt0062622","hal","dr. ralph halvorsen","nm0064235"
4,"tt0062622","michaels","dr. bill michaels","nm0838330"
4,"tt0062622","miller","miller","nm0779441"
4,"tt0062622","pilot","aries-1b lunar shuttle captain","nm0084042"
4,"tt0062622","poole","dr. frank poole","nm0516972"
4,"tt0062622","smyslov","dr. andrei smyslov","nm0744436"
5,"tt0083511","attendant","parking lot attendant","nm0845062"
5,"tt0083511","bartender","bartender","nm0510036"
5,"tt0083511","billy","billy bear","nm0484739"
5,"tt0083511","candy","candy","nm0114368"
5,"tt0083511","casey","casey","nm0741558"
5,"tt0083511","cates","jack cates","nm0000560"
5,"tt0083511","elaine","elaine","nm0001578"
5,"tt0083511","ganz","albert ganz","nm0001664"
5,"tt0083511","haden","haden","nm0574433"
5,"tt0083511","hammond","reggie hammond","nm0000552"
5,"tt0083511","henry","henry wong","nm0355194"
