script_id,imdb_id,title,year,gross,lines_data
1534,tt1022603,(500) Days of Summer,2009,37,5768300034334604000006640001360017001310120000310934100006224472167153201013214510013624542014001623253231210000001000367724334802504153285455300822071018400001011334421650037022001001000000100000030100000001125344324232602500543520015
1512,tt0147800,10 Things I Hate About You,1999,65,20120000000001000181422010003024465736246000000000003123316575532541416353443333453413023273214237442150236463001374665650110331026343364436365243344430000054452522235342552253353333341483264744431245445343211821334362832344300028223
1514,tt0417385,12 and Holding,2005,,10010000000117202441000000047744370344022800002301111140012370001737023100004062083106831039524003012024654196811102948500270435570800235950002630203223111753412200731201501373110210091605020016504000125311106206545322452576313658862520038912004778700000000000038642421100183231000641067367680000142728000022042160016521200000074000111137003502012494767753950880504756509000020017210032115126600194401022000134610003
1517,tt2024544,12 Years a Slave,2013,60,0000003240423500000000000000008143910201045300203384749359300196050267270000330000000600000000000000000000000000000000032000400000000000000000000000000000060600000000001470002710503970400700145640400000000000000002900138330000001320000008000000000000016606601033130110432049000934201440130002401300870000040000100110000150000003226381000003001575001600126406000000100000000000000000152015000106260000000000000139000000000000003110000700000000000000000000000000000000000000000000000000000000000040001233630100112004600000000000020140000320010000400024797113283997580240031491112053267070000170004032410006000000340200000031175225501600050020000000
1520,tt1542344,127 Hours,2010,20,0
6537,tt0450385,1408,2007,91,
3778,tt0103594,1492: Conquest of Paradise,1992,15,000000000002242342624653331245202111654222000051103477411742444200012552045727333587430000235778448767014037444006537620361329336166747752243002466463181002243365511436358575638271130000030025610680
623,tt0179626,15 Minutes,2001,37,052213227200170018511211454310364647561145600000005010010014720027630000000001313307376821230000242633207354241132011324423221323542753741687774255632775282785966355684107531101497700044241010400184777101897003105701465850034243282000066000657587313000320200620410001011326336400000004010400300102601415535411
1525,tt0974661,17 Again,2009,74,1160107838857286295947868776776870137731058848682125775470431521050562775858759487588586527700193110474117185263135774100127439677646877320106876611084705435786693103165887755311686673783488143623234569439424271046670243545000033610305615
6030,tt1272878,2 Guns,2013,80,0
625,tt0062622,2001: A Space Odyssey,1968,376,
